r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.727804064750671387e-01,5.408786535263061523e-01,5.027891397476196289e-01,5.348107814788818359e-01,6.012269973754882812e+00,6.699999809265136719e+00,0.000000000000000000e+00,3.960000000000000000e+02,8.000000000000000000e+00,2.620000000000000000e+02,4.000000000000000000e+00,1.036658510565757751e-01,6.652796268463134766e-02,6.740000247955322266e-01,0.000000000000000000e+00,5.240248441696166992e-01,5.153366851806640625e+01
9.727804064750671387e-01,5.371195077896118164e-01,5.012742280960083008e-01,5.259222984313964844e-01,5.596491336822509766e+00,7.500000000000000000e+00,0.000000000000000000e+00,3.920000000000000000e+02,9.000000000000000000e+00,2.500000000000000000e+02,3.000000000000000000e+00,1.056330800056457520e-01,7.157634943723678589e-02,6.579999923706054688e-01,0.000000000000000000e+00,5.198706984519958496e-01,5.277453231811523438e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.038719773292541504e-01,5.362982749938964844e-01,5.988023757934570312e+00,7.666666507720947266e+00,0.000000000000000000e+00,3.950000000000000000e+02,9.000000000000000000e+00,2.550000000000000000e+02,3.000000000000000000e+00,1.074943467974662781e-01,7.629311829805374146e-02,6.660000085830688477e-01,0.000000000000000000e+00,5.273523330688476562e-01,5.387076950073242188e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.030637383460998535e-01,5.324543118476867676e-01,6.213414669036865234e+00,7.199999809265136719e+00,0.000000000000000000e+00,4.150000000000000000e+02,7.000000000000000000e+00,2.780000000000000000e+02,2.000000000000000000e+00,1.081559732556343079e-01,7.432045787572860718e-02,6.719999909400939941e-01,0.000000000000000000e+00,5.222130417823791504e-01,5.506956100463867188e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.026935338973999023e-01,5.378713607788085938e-01,5.617283821105957031e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.850000000000000000e+02,3.000000000000000000e+00,2.470000000000000000e+02,0.000000000000000000e+00,1.062383055686950684e-01,5.933349207043647766e-02,6.759999990463256836e-01,0.000000000000000000e+00,5.371195077896118164e-01,5.601703262329101562e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.035497546195983887e-01,5.385037660598754883e-01,5.780488014221191406e+00,5.500000000000000000e+00,0.000000000000000000e+00,3.910000000000000000e+02,5.000000000000000000e+00,2.590000000000000000e+02,1.000000000000000000e+00,1.080826744437217712e-01,6.207247450947761536e-02,6.719999909400939941e-01,0.000000000000000000e+00,5.371195077896118164e-01,5.724465942382812500e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.016542673110961914e-01,5.332075953483581543e-01,6.194444656372070312e+00,9.199999809265136719e+00,0.000000000000000000e+00,4.020000000000000000e+02,1.000000000000000000e+01,2.640000000000000000e+02,5.000000000000000000e+00,1.061291843652725220e-01,7.302863895893096924e-02,6.399999856948852539e-01,0.000000000000000000e+00,5.240248441696166992e-01,5.843644332885742188e+01
9.727804064750671387e-01,5.408786535263061523e-01,5.021384358406066895e-01,5.345931053161621094e-01,5.981249809265136719e+00,7.090909004211425781e+00,0.000000000000000000e+00,4.000000000000000000e+02,7.000000000000000000e+00,2.750000000000000000e+02,4.000000000000000000e+00,1.095078140497207642e-01,7.185736298561096191e-02,6.800000071525573730e-01,0.000000000000000000e+00,5.240248441696166992e-01,5.941556549072265625e+01
9.727804064750671387e-01,5.429778695106506348e-01,5.024091005325317383e-01,5.366117358207702637e-01,5.590643405914306641e+00,6.363636493682861328e+00,0.000000000000000000e+00,3.960000000000000000e+02,9.000000000000000000e+00,2.660000000000000000e+02,2.000000000000000000e+00,1.117047071456909180e-01,8.315308392047882080e-02,6.579999923706054688e-01,0.000000000000000000e+00,5.277254581451416016e-01,6.057157897949218750e+01
9.727804064750671387e-01,5.456702709197998047e-01,5.009528994560241699e-01,5.360807180404663086e-01,6.388571262359619141e+00,7.099999904632568359e+00,0.000000000000000000e+00,3.960000000000000000e+02,9.000000000000000000e+00,2.670000000000000000e+02,3.000000000000000000e+00,1.133559048175811768e-01,8.024315536022186279e-02,6.499999761581420898e-01,0.000000000000000000e+00,5.240248441696166992e-01,6.176731109619140625e+01
9.727804064750671387e-01,5.411872863769531250e-01,5.014448165893554688e-01,5.342004895210266113e-01,5.988023757934570312e+00,7.199999809265136719e+00,0.000000000000000000e+00,4.140000000000000000e+02,1.000000000000000000e+01,2.880000000000000000e+02,3.000000000000000000e+00,1.121490523219108582e-01,7.591611146926879883e-02,6.660000085830688477e-01,0.000000000000000000e+00,5.213255882263183594e-01,6.310402297973632812e+01
